PERMNO,date,TICKER,PRC,ewretd
92611,20080516,V,82.37,0.001134
92611,20080519,V,83.32,-0.000465
92611,20080520,V,82.74,-0.003441
92611,20080521,V,80.85,-0.00903
92611,20080522,V,77.31,0.003284
92611,20080523,V,76.35,-0.007284
92611,20080527,V,78.74,0.006128
92611,20080528,V,81.92,0.003516
92611,20080529,V,85.25,0.005273
92611,20080530,V,86.36,0.004897
92611,20080602,V,86.07,-0.008327
92611,20080603,V,87.56,-0.001827
92611,20080604,V,85.48,0.00137
92611,20080605,V,87.24,0.014712
92611,20080606,V,83.65,-0.019843
92611,20080609,V,82.14,-0.007748
92611,20080610,V,80.31,-0.005347
92611,20080611,V,77.74,-0.01496
92611,20080612,V,79.56,0.001061
92611,20080613,V,81.53,0.012216
92611,20080616,V,83.27,0.005438
92611,20080617,V,84.67,-0.004316
92611,20080618,V,83.86,-0.008334
92611,20080619,V,84.27,0.002759
92611,20080620,V,83.57,-0.013799
92611,20080623,V,81.06,-0.008986
92611,20080624,V,82.66,-0.009818
92611,20080625,V,82.06,0.007374
92611,20080626,V,79.1,-0.01921
92611,20080627,V,82.6,-0.005735
92611,20080630,V,81.31,-0.005703
92611,20080701,V,81.41,-0.006281
92611,20080702,V,79.42,-0.018104
92611,20080703,V,78.07,-0.006058
92611,20080707,V,75.62,-0.011638
92611,20080708,V,79.06,0.018354
92611,20080709,V,75.87,-0.014158
92611,20080710,V,77.25,0.002293
92611,20080711,V,74.55,-0.003134
92611,20080714,V,72.58,-0.012314
92611,20080715,V,68.42,-0.009188
92611,20080716,V,72.23,0.026523
92611,20080717,V,75.06,0.016424
92611,20080718,V,73.4,0.000886
92611,20080721,V,71.9,0.006922
92611,20080722,V,74.05,0.015198
92611,20080723,V,73.25,0.006601
92611,20080724,V,70.08,-0.018608
92611,20080725,V,71.96,0.006381
92611,20080728,V,70.55,-0.013748
92611,20080729,V,75.97,0.016848
92611,20080730,V,78.45,0.006791
92611,20080731,V,73.06,-0.002699
92611,20080801,V,71.73,-0.000643
92611,20080804,V,72.5,-0.012175
92611,20080805,V,73.6,0.013529
92611,20080806,V,71.48,0.006614
92611,20080807,V,69.5,-0.012514
92611,20080808,V,72.6,0.015856
92611,20080811,V,74.79,0.010688
92611,20080812,V,72.8,-0.005649
92611,20080813,V,73.93,0.002639
92611,20080814,V,75.78,0.006583
92611,20080815,V,75.79,-0.00084
92611,20080818,V,74.94,-0.009901
92611,20080819,V,73.74,-0.011698
92611,20080820,V,74.57,0.002737
92611,20080821,V,74.38,-0.002198
92611,20080822,V,74.09,0.009552
92611,20080825,V,73.32,-0.015097
92611,20080826,V,73.34,0.002901
92611,20080827,V,74.45,0.008219
92611,20080828,V,75.65,0.013386
92611,20080829,V,75.9,-0.003383
92611,20080902,V,74.99,-0.003504
92611,20080903,V,73.05,-0.000438
92611,20080904,V,70.5,-0.021585
92611,20080905,V,71.76,-0.000287
92611,20080908,V,70.1,0.007695
92611,20080909,V,67.49,-0.028931
92611,20080910,V,69.04,0.003563
92611,20080911,V,70.95,-0.002843
92611,20080912,V,71.65,0.004946
92611,20080915,V,69.38,-0.039339
92611,20080916,V,66.35,0.003425
92611,20080917,V,64.09,-0.040852
92611,20080918,V,66.9,0.041546
92611,20080919,V,69.57,0.04956
92611,20080922,V,65.18,-0.026831
92611,20080923,V,66.9,-0.012835
92611,20080924,V,65.68,-0.009146
92611,20080925,V,64.6,0.008866
92611,20080926,V,62.04,-0.008251
92611,20080929,V,57.8,-0.061273
92611,20080930,V,61.39,0.027763
